precond?,n,q,success
0,10,31,92.9
0,11,31,91.3
0,12,31,91.6
0,13,31,87.1
0,14,31,87.5
0,15,31,93.8
0,16,31,90.8
0,17,31,92.3
0,18,31,88.3
0,19,31,94.6
0,20,31,95.9
0,21,31,91.2
0,22,31,91.4
0,23,31,94.1
0,24,31,92.0
0,25,31,92.4
0,26,31,90.9
0,27,31,96.8
0,28,31,91.5
0,29,31,95.0
0,30,31,94.7
0,31,31,94.0
0,32,31,94.3
0,33,31,86.3
0,34,31,89.8
0,35,31,91.8
0,36,31,87.7
0,37,31,91.1
0,38,31,89.6
0,39,31,93.4
0,40,31,91.2
0,41,31,91.6
0,42,31,86.9
0,43,31,92.8
0,44,31,85.3
0,45,31,95.3
0,46,31,96.4
0,47,31,94.1
0,48,31,95.7
0,49,31,94.1
0,50,31,85.9
0,51,31,88.9
0,52,31,91.1
0,53,31,91.9
0,54,31,88.4
0,55,31,92.0
0,56,31,83.4
0,57,31,87.6
0,58,31,88.3
0,59,31,91.7
0,60,31,90.6
0,61,31,92.6
0,62,31,88.4
0,63,31,92.9
0,64,31,93.4
0,65,31,94.6
0,66,31,91.3
0,67,31,90.7
0,68,31,89.9
0,69,31,91.2
0,70,31,90.7
0,71,31,95.5
0,72,31,88.0
0,73,31,89.0
0,74,31,86.3
0,75,31,89.4
0,76,31,87.8
0,77,31,92.7
0,78,31,91.6
0,79,31,89.6
0,80,31,91.3
0,81,31,94.6
0,82,31,88.7
0,83,31,89.7
0,84,31,90.9
0,85,31,88.4
0,86,31,92.2
0,87,31,91.7
0,88,31,93.4
0,89,31,91.5
0,90,31,86.1
0,91,31,91.6
0,92,31,92.5
0,93,31,90.3
0,94,31,88.5
0,95,31,89.4
0,96,31,88.5
0,97,31,96.1
0,98,31,91.4
0,99,31,94.4
0,100,31,85.4
1,10,31,50.7
1,11,31,44.7
1,12,31,43.1
1,13,31,38.9
1,14,31,37.8
1,15,31,31.5
1,16,31,34.1
1,17,31,40.6
1,18,31,40.9
1,19,31,31.8
1,20,31,34.7
1,21,31,29.2
1,22,31,29.0
1,23,31,26.3
1,24,31,31.8
1,25,31,25.4
1,26,31,30.9
1,27,31,28.5
1,28,31,25.1
1,29,31,26.2
1,30,31,26.2
1,31,31,25.1
1,32,31,23.3
1,33,31,23.4
1,34,31,25.3
1,35,31,22.4
1,36,31,24.9
1,37,31,26.0
1,38,31,24.5
1,39,31,22.9
1,40,31,23.1
1,41,31,21.6
1,42,31,23.5
1,43,31,22.1
1,44,31,23.8
1,45,31,23.7
1,46,31,21.6
1,47,31,23.1
1,48,31,21.8
1,49,31,25.5
1,50,31,22.7
1,51,31,23.4
1,52,31,22.2
1,53,31,22.5
1,54,31,24.8
1,55,31,26.5
1,56,31,24.2
1,57,31,22.6
1,58,31,25.0
1,59,31,21.5
1,60,31,22.8
1,61,31,25.1
1,62,31,21.4
1,63,31,21.6
1,64,31,24.4
1,65,31,22.8
1,66,31,28.6
1,67,31,27.8
1,68,31,25.2
1,69,31,25.5
1,70,31,23.2
1,71,31,24.5
1,72,31,22.8
1,73,31,26.8
1,74,31,25.4
1,75,31,25.0
1,76,31,23.8
1,77,31,24.5
1,78,31,25.6
1,79,31,27.2
1,80,31,26.4
1,81,31,23.6
1,82,31,28.0
1,83,31,23.3
1,84,31,31.0
1,85,31,26.5
1,86,31,25.2
1,87,31,30.0
1,88,31,26.2
1,89,31,27.3
1,90,31,28.1
1,91,31,25.2
1,92,31,30.2
1,93,31,30.9
1,94,31,27.6
1,95,31,27.5
1,96,31,29.2
1,97,31,29.9
1,98,31,28.8
1,99,31,30.3
1,100,31,30.0
